title,description,lat,lng,mile_nobo
Bishop,"Bishop [63 mi NE] is a larger town on Hwy 395, 42 miles N of Independence, with restaurants, motels, large grocery [Vons], pharmacy [Rite Aid, Vons], outfitters [eastsidesports.com 760-873-7520], Post Office, hospital [nih.org 760-873-5811], laundry, ATMs, and anything else a hiker might need. Weekday ESTransit.com bus service runs from Lone Pine and Independence to Bishop. Bishop is accessible by hiking 7.6 miles E over Kearsarge Pass [11,712 feet] to Onion Valley, then take the paved road 13 miles E to Independence, then take Hwy 395 N for 42 miles.
-----
Bishop is a common PCT resupply stop, although some hikers ship a box to Independence or hike all the way from Kennedy Meadows or Horseshoe Meadows to VVR. Bishop resupply shopping rating: A",37.363679,-118.39524,790.2708
Muir Trail Ranch,"Muir Trail Ranch [1.5 mi NW] [muirtrailranch.com/resupply.html], is a private guest ranch that accepts hiker resupply packages [$$$] and sells a few emergency supplies. 1.5 miles NW of PCT on the Florence Lake Trail. 
-----
Packages are delivered to the ranch via pack animals and must follow detailed shipping instructions. Allow extra time for delivery. The package fee for 2021 was $85.00 for 25 pounds.
-----
Muir Trail Ranch is a common resupply stop for John Muir Trail hikers, but less so for PCT hikers, probably due to the cost and shipping requirements.",37.2378709,-118.8811818,858.9193812589455
Vermilion Valley Resort,"Vermilion Valley Resort [6 mi W] [vermilionvalley.com 559-259-4000] is a hiker-friendly resort with a small store, restaurant, tent cabins, showers, and laundry.
-----
You can reach VVR via the Bear Ridge Trail [back at PCT mile 874.5] or by a ferry boat [$, 9am & 4pm, if the lake is not too low] that lands 1.5 miles SW of PCT mile 878.7 or hike 6 miles along the N shore of Lake Edison to VVR. VVR accepts hiker resupply packages [$$].
-----
Ship FedEx or UPS; $30-50 fee, allow extra time for delivery to VVR; include ETA:
Vermilion Valley Resort
c/o Rancheria Garage
62311 Huntington Lake Road
Lakeshore, CA 93634
-----
Vermilion Valley Resort is a common PCT hiker resupply stop.",37.3760626,-119.0124006,879.9362115
Red's Meadow,"Red's Meadow [3/10 mi NE] [Redsmeadow.com 760-934-2345] is a pack station with lodging, good restaurant, a small store offering limited resupply, laundry, nearby campground with hot spring showers.
-----
Bus service [$8 day pass, estransit.com] runs between Red's Meadow and the Mammoth Mountain ski area. Red's Meadow is open from about 6/15 - 10/1. Snow may delay the opening during high snow years.
-----
Red's Meadow accepts resupply packages [$40 fee, signed authorization form & pre-payment required], see Redsmeadow.com for instructions.",37.6148488,-119.0750705,907.81687
Mammoth Lakes,"Mammoth Lakes [16 mi E] is a large town with restaurants, motels, campgrounds, large grocery store [Vons], natural food store, pharmacy [Rite Aid, Vons], several good outfitters, Post Office [760-934-2205], hospital [mammothhospital.org 760-934-3311], laundry, ATMs, and estransit.com bus, yarts.com bus service. 
-----
Mammoth Lakes Post Office [open M-F 8-4]:
(Your Name)
c/o General Delivery
Mammoth Lakes, CA 93546
-----
Mammoth Lakes is a very common PCT resupply stop. Resupply shopping rating: A",37.6432525,-118.9668509,907.81689
Bridgeport,"Bridgeport [21.5 mi SE] is a small town with restaurants, motels, grocery store, Post Office [760-932-7991], laundry, and ATMs. From Sonora Pass travel 14.7 miles SE on Hwy 108, then 16.8 miles S on Hwy 395.
-----
Bridgeport Post Office [open M-F 8-12 & 1-4]:
(Your Name)
c/o General Delivery
Bridgeport, CA 93517
-----
Bridgeport was once a common PCT hiker resupply stop, but less so now that Northern Kennedy Meadows has a hiker shuttle service. Sonora Pass to Bridgeport can be a difficult hitch.",38.2613605,-119.2269816,1018.1239
South Lake Tahoe,"South Lake Tahoe [12 mi NE] is a large town with restaurants, motels, large grocery stores [Safeway, Raley's, Whole Foods], pharmacy [CVS, Rite Aid, Safeway], Post Office [530-544-5867], hospital [bartonhealth.org 530-541-3420], ATMs, and Uber/ride share. 12 miles NE of the PCT on Hwy 50.
-----
South Lake Tahoe Post Office [open M-F 8:30-5 & Sa 12-2]:
(Your Name) 
c/o General Delivery
South Lake Tahoe, CA 96151
-----
NOTE: South Lake Tahoe has two post offices, only the main Post Office at 1046 Al Tahoe Blvd accepts general delivery packages.
-----
South Lake Tahoe is a very common PCT resupply stop. South Lake Tahoe Resupply shopping rating: A, consider shipping boxes from here to Northern California, possibly Sierra City, Belden, Old Station, Seiad Valley. -HM",38.9319293,-119.9780188,1091.95231
Soda Springs,"Soda Springs [3 mi W] is a community with a restaurant, store, ATM, and Post Office [530-426-3082]. 3 miles W of PCT on Old Highway 40.
-----
The historic Clair Tappaan Lodge [clairtappaanlodge.com 530-426-3632] is 1.4 miles W of the Pacific Crest Trail where it crosses Old Hwy 40. The lodge offers hostel-style lodging, showers, laundry, and a hot tub. Hot meals may be purchased. The Lodge does not accept resupply packages but the Soda Springs Post Office is 1.9 miles away.
-----
Soda Springs Post Office [open M-F 9-1 & 1:30-3:30]:
(Your Name)
c/o General Delivery
Soda Springs, CA 95728",39.3234016,-120.379453,1154.57486
Truckee,"Truckee [12 mi E] is an upscale town with restaurants, motels, grocery stores [Safeway, Save Mart], pharmacy [CVS, Rite Aid, Safeway], outfitter [tahoemountainsports.com 530-536-5200], Post Office [530-587-7158], hospital [tfhd.com 530-587-6011], ATMs. 12 miles E of PCT on Old Highway 40 [AKA Donner Pass Road] or Interstate Hwy 80.
-----
Truckee Post Office [open M-F 8:30-5, Sa 11-2]:
(Your Name)
c/o General Delivery
Truckee, CA 96161",39.3279454,-120.1835765,1154.57487
Sierra City,"Sierra City [1.4 mi SW] is a small town with restaurants, motels, small store, ATM, Post Office [530-862-1152], and a library. 1.4 miles SW of the PCT on Hwy 49.
-----
Sierra City Post Office [open M-F 10-2; Sa 10:30-12:30]:
(Your Name)
c/o General Delivery
Sierra City, CA 96125
-----
The Sierra Country Store [sierracountrystore.com 530-862-1560, open 9-8 daily] accepts hiker resupply packages sent by FedEx, UPS, or USPS. Include ETA on your package. 
-----
Sierra Country Store USPS:
(Your Name)
c/o Sierra Country Store 
PO Box 196
Sierra City, CA 96125
(USPS packages sent to the street address sometimes are misdirected) 
-----
Sierra Country Store FedEx or UPS:
(Your Name)
c/o Sierra Country Store
213 Main Street
Sierra City, CA 96125
-----
Sierra City is a very common PCT resupply stop. Many hikers ship a box here.",39.5655468,-120.635999,1196.61107
Quincy,"Quincy [12 mi E] is a town with restaurants, motels, grocery stores [Grocery Outlet, Safeway], natural food store, pharmacy [Rite Aid], Post Office [530-283-3912], hospital [pdh.org 530-283-2121], laundry, ATMs, and plumastransit.com bus service. Approximately 12 miles E of the PCT on Bucks Lake Road.
-----
Quincy Post Office [open M-F 8:30-5].
(Your Name)
c/o General Delivery
Quincy, CA 95971
-----
Resupply shopping rating: B+",39.9309945,-120.9535739,1269.08506
Belden,"Belden is a small resort and lodge on the PCT with a restaurant, bar, very small store, ATM, and cabin rentals [Beldentown.com 530-283-9662].
NOTE: Belden Town is FOR SALE as of February 2022. 
-----
The Belden Town Resort [FedEx or UPS]:
(Your Name & ETA)
Belden Town Resort
14785 Belden Town Road
Belden, CA 95915
-----
Caribou Crossroads [cariboucrossroads.com; 530-283-1384] 1.5 East on Hwy 70, is a hiker-friendly RV Park, cafe, and small store that may accept hiker packages, call to verify.

Your Name & ETA
c/o Caribou crossroads store 
16242 Hwy 70 
 Belden CA 95915
-----
The Belden Post Office closed in 2013. Beldon Town Resort will NOT be accepting hiker packages for our 2021 season. The Braatens at Little Haven [Littlehavenpct.com/hikerservices] was CLOSED in 2020 and ""At this point we have no plans to reopen in future seasons."" Hwy 70 is a narrow, curvy, dangerous road with no room to walk safely.
-----
Belden is a common PCT resupply stop. Most hikers ship a box here. -HM",40.0015725,-121.2694909,1287.9764477841168
Chester,"Chester [7.5 mi E] is a town with restaurants, motels, large grocery store [﻿﻿Holiday Market], pharmacy, Post Office [530-258-4184], hospital [senecahospital.org 530-258-2151], laundry, showers, ATMs, and plumastransit.com bus service. 7.5 miles E of the PCT on Hwy 36.
-----
Chester Post Office [open M-F 8:30-4]: 
(Your Name)
c/o General Delivery 
Chester, CA 96020
-----
Chester is a very common PCT resupply stop. Resupply shopping rating: A-",40.298829,-121.237125,1332.283681
Drakesbad Guest Ranch,"Drakesbad Guest Ranch [drakesbad.com 530-524-2841 in season; 866-999-0914] is a hiker-friendly hot spring resort on the PCT in Lassen National Park with and excellent restaurant, cabins, and they accept resupply packages.
-----
Ship packages by FedEx, UPS, or USPS. Include ETA on your package.
(Your Name), PCT hiker
Drakesbad Guest Ranch
End of Warner Valley Road
Chester, CA 96020",40.4437027,-121.4040146,1351.0296845167916
Old Station,"Old Station [3/10 mi W] is a very small community with a mini-mart, RV park/resort, Post Office [530-335-7191].
-----
The Hat Creek Resort & RV Park [hatcreekresortrv.com 530-335-7121] is a private RV park with cabins located in Old Station next to the Post Office. 
-----
Old Station Post Office [open M-F 11-3]:
(Your Name)
c/o General Delivery
Old Station, CA 96071",40.6751608,-121.43081,1374.4442592560315
JJ's Cafe,"JJ's Cafe is open Su-Th 7-3, Fr-Sa 7-7:30, [jjscafeoldstation.com 530-335-7225], 1/2 mile SW of Hwy 44.
-------
The Old Station Fill-Up [oldstationfillup.com 530-335-3152] is a gas station & mini-mart, ATM, next door to JJ's, open 7-7 daily .",40.6769212,-121.4276376,1378.3170335918464
Burney,"Burney [7.7 mi SW] is a small town with restaurants, motels, grocery stores [Grocery Outlet, Safeway], Dollar General, pharmacy [Rite Aid, Safeway], Post Office [530-335-5430], laundry, ATMs.
-----
Burney Post Office [open M-F 9:30-4]: 
(Your Name)
c/o General Delivery
Burney, CA 96013
-----
If you are hitching to Burney, try 1/10 mile SW at the intersection of Hwy 299 and Cassel Road. It's dangerous for cars to stop where the PCT crosses 299.
-----
Burney is a very common PCT resupply stop. Resupply shopping rating: B+",40.8884145,-121.6727826,1412.2574540825838
Burney Falls State Park,"Burney Falls State Park is along the PCT with a campground, coin showers, and a small store that accepts hiker resupply packages.
-----
Burney Falls State Park Camp Store [open daily 8-8; 530-335-5713] accepts hiker resupply packages [$10] sent by USPS. Include ETA on package.
(Your Name)
c/o Burney Park Camp Store
McArthur Burney Falls State Park
24900 State Highway 89
Burney, CA 96013
-----
WATER ALERT: Next southbound water after Burney Falls State Park may be the lake in 11.3 miles.",41.0167664,-121.6412627,1419.999994939478
Castella,"Castella [2 mi SW] is a very small community and nearby state park, with the Ammirati Market, state park campground [$5 hiker campsites], coin showers, and a Post Office [530-235-4413].
-----
Ammirati's Market [open every day 8-9; 530-235-2676] is next to the post office, has limited resupply, sandwiches and accepts hiker resupply packages sent by FedEx, UPS, or USPS. Include ETA on your package.
USPS address:
(Your Name)
c/o Ammirati's Market
PO Box 90
Castella, CA 96017
---
FedEx, UPS address:
(Your Name)
c/o Ammirati's Market
20107 Castle Creek Road
Castella, CA 96017
---
Castella Post Office [open M-F 11-3; Sa 8:45-10]: 
(Your Name)
c/o General Delivery
Castella, CA 96017",41.1539615,-122.2926699,1502.105391
Dunsmuir,"Dunsmuir [5.5 mi N] is a small town with restaurants, motels, grocery store, Dollar General, Post Office [530-235-0338], laundry, ATMs. 5.5 miles N of the PCT on Interstate Hwy 5.
-----
Dunsmuir Post Office [open M-F 8:30-5]:
(Your Name)
c/o General Delivery
Dunsmuir, CA 96025
-----
The larger town of Mount Shasta is 13.5 N of the PCT on Interstate Hwy 5 with restaurants, motels, KOA campground, grocery stores, Dollar General, pharmacy [CVS, Rite Aid], outfitter, library, laundry, ATMs, and a Post Office.
-----
Dunsmuir or Mount Shasta are very common PCT resupply stops. Dunsmuir Resupply shopping rating: B; Mount Shasta Resupply shopping rating: B+",41.208209,-122.271953,1502.1583681
Etna,"Etna [10.4 mi NE] is a small hiker-friendly town with restaurants, motels, grocery, Etna Creek Outfitters [facebook.com/EtnaCreekOutfitters 530-467-4034], Dollar General, library, Post Office [530-467-3981], laundry, ATMs. 10.4 miles NE of the PCT on Sawyers Bar Road. The Alderbrook Manor B&B and Hiker Hut closed in 2020.
-----
Etna Post Office [open M-F 9-5]:
(Your Name)
c/o General Delivery
Etna, CA 96027
-----
Etna is a very common PCT resupply stop. Resupply shopping rating: B",41.456416,-122.8938545,1600.707585
Seiad Valley,"Seiad Valley is a very small hiker-friendly community on the PCT with a cafe, small store, Post Office [530-496-3211], WiFi, and Mid River RV Park [facebook.com/midriverrvpark 530-496-3400] w/ hiker camping, laundry, showers.
-----
Seiad Valley Post Office [open M-F 12-4, Sa 12-1:30]:
(Your Name)
c/o General Delivery
Seiad Valley, CA 96086
-----
Mid River RV Park accepts hiker resupply packages [$5 or free w/ $15 hiker camping]. Shipping by UPS recommended. Include ETA on package.
(Your Name)
c/o Mid River RV Park
44701 Highway 96
Seiad Valley, CA 96086
-----
Wildwood Tavern [530-496-3500; wildwoodtavernandlodge.com] 1/2 mile W of the Post Office offers hiker camping, food, showers, laundry & small store.
-----
Seiad Valley is a very common PCT resupply stop. Resupply shopping rating: C",41.8418128,-123.194727,1656.8891104461898
Callahan's Lodge,"Callahan's Lodge [8/10 mi N] [callahanslodge.com 800-286-0507 or 541-482-1299] is hiker friendly lodge with a restaurant, lodging, laundry, showers, hiker camping.
-----
Send resupply packages [$5] by UPS, or USPS. Include ETA on your package.
PCT Hiker (Your Name)
c/o Callahan's Lodge
7100 Old Highway 99 South
Ashland, OR 97520",42.0739208,-122.6026422,1719.6395225534263
Ashland,"Ashland [13 mi NW] is a large town with restaurants, motels, large grocery stores [Albertsons, Safeway], food co-op, Dollar Tree, pharmacy [Rite Aid], outfitter [ashlandmountainprovisions.com 541-708-6350], Post Office [541-552-1622], laundry, hospital [asante.org 541-201-4000], showers, ATMs, bus service. 13 miles NW of the PCT on Interstate 5.
-----
Ashland Post Office [open M-F 9-5]: 
(Your Name)
c/o General Delivery
Ashland, OR 97520
-----
Ashland is a very common PCT resupply stop. Resupply shopping rating: A; consider shipping boxes from here to Crater Lake (Mazama), Big Lake Youth Camp, Timberline Lodge. -HM",37.6970252,-122.1151866,1719.6522638277368
Green Springs Inn,"Green Springs Inn [1.8 mi SE] [greenspringsinn.com, 541-890-6435], is a small resort with lodging and a restaurant.",42.1222313,-122.4640868,1736.3337299336993
Fish Lake Resort,"Fish Lake Resort [2 mi W] [fishlakeresort.net 541-949-8500] is a hiker-friendly resort that has a cafe, campground, cabins, laundry, showers, very small store and they accept resupply packages [$]. 2 miles W of the PCT on Hwy 140.
-----
Ship UPS only [$5 fee]:
(Your Name)
c/o Fish Lake Resort
State HWY 140, Mile Marker 30
Eagle Point, OR 97524",42.3942415,-122.3137951,1774.3450876893025
